Case Number,Date,Year,Country,Area,Location,Injury,Fatal (Y/N),Month,Hemisphere,Season,year_by_50
1958.06.15,15-Jun-1958,1958,AUSTRALIA,Queensland,Green Island,"Injuries caused by coral, not the  shark",,6,South,Winter,2000
1958.06.17,17-Jun-1958,1958,USA,Florida,Key Biscayne,Thigh bitten PROVOKED INCIDENT,N,6,North,Summer,2000
1958.06.24,24-Jun-1958,1958,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",Lower left leg & foot bitten,N,6,North,Summer,2000
1958.06.26,26-Jun-1958,1958,USA,Florida,"Sanibel Island, Lee County",Right foot bitten when he walked into shark's head PROVOKED INCIDENT,N,6,North,Summer,2000
1958.07.01,01-Jul-1958,1958,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Maritzoan, east coast of Namatanai","FATAL, left arm severed ",Y,7,South,Winter,2000
1958.07.02,02-Jul-1958,1958,USA,Florida,"Siesta Key, Sarasota County","He grabbed shark, it bit his leg below the knee PROVOKED INCIDENT",N,7,North,Summer,2000
1958.04.30,30-Apr-1958,1958,USA,Florida,1 mile off Miami Beach,"Grabbed sharks tail, shark bit his thigh PROVOKED INCIDENT",N,4,North,Spring,2000
1958.07.04.a,04-Jul-1958,1958,USA,Between Hawaii & Wake Island,600 miles northwest of Honolulu,Left shoulder bitten ,N,7,North,Summer,2000
1959.10.02,02-Oct-1959,1959,FIJI,Lomaiviti Province,"Levuka, Ovalau Island","FATAL, body not recovered",Y,10,South,Spring,2000
1959.09.30,30-Sep-1959,1959,PHILIPPINES,Leyte Island,Luang Dulag,"No details, survived",N,9,North,Autumn,2000
1959.09.27,27-Sep-1959,1959,BERMUDA,Hamilton,Astwood's Cove,"Murdered, body scavenged by sharks",,9,North,Autumn,2000
1959.09.26.b,26-Sep-1959,1959,USA,Florida,"Off Port Everglades, Broward County","During the night both hands and feet were bitten, rescued next day after spending 17 hours in the sea.",N,9,North,Autumn,2000
1959.09.26.a,26-Sep-1959,1959,USA,South Carolina,"Albergotti Creek, near Air Station boat docks, Beaufort",,UNKNOWN,9,North,Autumn,2000
1959.09.11,Between 10 and 12-Sep-1959,1959,USA,California,"Between False Klamath & mouth of Klamath River, Del Norte County","No injury to occupant, shark struck stern of boat",N,9,North,Autumn,2000
1959.09.10.R,Reported 10-Sep-1959,1959,INDIA,Orissa,Machhagan,"5 fatalities, 30 injured",Y,9,North,Autumn,2000
1959.08.25,25-Aug-1959,1959,JAPAN,Hokkaido Prefecture,"Okushiri Island, Hiyama Subprefecture",Survived (no injury?),,8,North,Summer,2000
1959.08.31.R,Reported 31-Aug-1959,1959,PORTUGAL,Not applicable,Sao Miguel,No injury to occupants; shark bit rudder,N,8,North,Summer,2000
1959.08.30,30-Aug-1959,1959,AUSTRALIA,Tasmania,Not applicable,No injury,,8,South,Winter,2000
1959.08.20,20-Aug-1959,1959,PHILIPPINES,North Palawan,Cabuli Island,"Navy personnel reported that his body was ""mutilated by sharks"" but it is probable that death resulted from drowning",,8,North,Summer,2000
1959.08.15.b,15-Aug-1959,1959,USA,Florida,"Panama City, Bay County",No injury,,8,North,Summer,2000
1959.08.15.a,15-Aug-1959,1959,USA,Florida,"Panama City, Bay County","FATAL, disappeared, dive gear & clothing found with teethmarks, presumed taken by a shark  ",Y,8,North,Summer,2000
1959.08.14.b,14-Aug-1959,1959,USA,South Carolina,Charleston,Laceration to forearm by boated shark PROVOKED INCIDENT,N,8,North,Summer,2000
1959.10.04,04-Oct-1959,1959,USA,California,"Bodega Rock, Sonoma County","Ankle twisted, swim fin bitten",N,10,North,Autumn,2000
1959.08.14.a,14-Aug-1959,1959,PHILIPPINES,Queaon,Between Unisan & Angadanan Islands,"10 of the 15 people perished, bodies of some who drowned  were scavenged by sharks",Y,8,North,Summer,2000
1959.09.02,02-Sep-1959,1959,USA,New York,"Oak Beach, Fire Inlet",No injury,,9,North,Autumn,2000
1959.10.05,05-Oct-1959,1959,PAPUA NEW GUINEA,Madang,Taludig,Thigh bitten,N,10,South,Spring,2000
1959.11.29,29-Nov-1959,1959,AUSTRALIA,Victoria,"Fairhaven Beach, Lorne","Thighs bitten, right hand lacerated",N,11,South,Spring,2000
1959.11.01,01-Nov-1959,1959,PAPUA NEW GUINEA,New Britain,"Rapindik Beach, Rabaul",Both hands bitten while helping companion land speared shark PROVOKED INCIDENT,N,11,South,Spring,2000
1959.08.13,13-Aug-1959,1959,USA,California,"LaJolla, San Diego County","No injury, PROVOKED INCIDENT",N,8,North,Summer,2000
1959.12.29,29-Dec-1959,1959,AUSTRALIA,Queensland,Scotts Point Beach ,No injury to occupants,N,12,South,Summer,2000
1959.12.28,28-Dec-1959,1959,AUSTRALIA,New South Wales,"Leichardt, Sydney",No injury to occupants,N,12,South,Summer,2000
1959.12.26,26-Dec-1959,1959,PAPUA NEW GUINEA,Rigo subdistrict,Kaparoka,"FATAL, right leg severed",Y,12,South,Summer,2000
1959.12.19.b,19-Dec-1959,1959,AUSTRALIA,Queensland,"Off Wynnum in Moreton Bay, near Brisbane",FATAL,Y,12,South,Summer,2000
1959.12.19.a,19-Dec-1959,1959,PHILIPPINES,Masbate,Balud,"65 people survived, 27 perished. Several people were bitten & one man lost his leg to a shark.",Y,12,North,Winter,2000
1959.12.11,11-Dec-1959,1959,AUSTRALIA,Victoria,"Altona, Melbourne","Smith hit by tail of shark, Walker sustained cuts on his  wrist PROVOKED INCIDENT",N,12,South,Summer,2000
1959.10.07,07-Oct-1959,1959,MOZAMBIQUE,Maputo Province,"Xefina Island, Bay of Maputo","FATAL, died in Lourenco Marques Hospital",Y,10,South,Spring,2000
1959.12.07,07-Dec-1959,1959,AUSTRALIA,South Australia,Laura Bay,"No injury, shark made threat display, one diver shot shark in jaw, then they killed shark with knives  ",,12,South,Summer,2000
1959.11.28,28-Nov-1959,1959,AUSTRALIA,Queensland,"North Burleigh, near Brisbane",Right foot lacerated,N,11,South,Spring,2000
1959.11.22,22-Nov-1959,1959,AUSTRALIA,Queensland,"Surfer's Paradise, Northcliffe","Lower left leg bittten, hand abraded",N,11,South,Spring,2000
1959.11.16,16-Nov-1959,1959,USA,Louisiana,120 miles southeast of New Orleans,Body recovery efforts were hampered by large sharks but sharks did not cause the deaths. ,,11,North,Autumn,2000
1959.11.15,15-Nov-1959,1959,SOUTH AFRICA,Western Cape Province,"Swartklip, False Bay",R. Roberts' leg was bruised when shark leapt into boat,N,11,South,Spring,2000
1959.11.12.R,Reported 12-Nov-1959,1959,AUSTRALIA,South Australia,Near Port Vincent,"No injury to occupant, hull bitten PROVOKED INCIDENT",N,11,South,Spring,2000
1959.11.10,10-Nov-1959,1959,USA,California,"Near Paradise Cove, Malibu, Los Angeles County",Forearm bitten,N,11,North,Autumn,2000
1959.11.09,09-Nov-1959,1959,AUSTRALIA,Western Australia, Perth,"No injury. Diver shot shark, then shark tore legs of his rubber suit, water poured in & swept out to sea by strong rip current PROVOKED INCIDENT",N,11,South,Spring,2000
1959.12.03,03-Dec-1959,1959,NEW ZEALAND,North Island,Moko Hinau ,"No injury to occupant, shark sank dinghy",N,12,South,Summer,2000
1959.08.12,12-Aug-1959,1959,CROATIA,Istria,Pula,Laceration to arm PROVOKED INCIDENT,N,8,North,Summer,2000
1959.07.03.a & b,03-Jul-1959,1959,ANGUILLA,PANAMA,"Off Cristobal, 200 miles northeast of the entrance to the Panama Canal","FATAL X 2, 8 others missing. Survivors fought off sharks & sharks seen biting 2 of the dead. The 39 survivors were rescued by the German freighter Essen",Y,7,North,Summer,2000
1959.08.10,10-Aug-1959,1959,USA,Georgia,"Savannah Beach, Savannah, Chatham County","4"" cut on left foot ",N,8,North,Summer,2000
1959.04.05,05-Apr-1959,1959,AUSTRALIA,New South Wales,Thirroul,Swim fin bitten,N,4,South,Autumn,2000
1959.03.29,29-Mar-1959,1959,USA,Florida,"Vaca Cut Channel & bridge under Marathon, Monroe County","Bumped, then knee bitten",N,3,North,Spring,2000
1959.03.08,08-Mar-1959,1959,PHILIPPINES,Mindanao,"Mouth of Langoyan River, Davao City","FATAL, body not recovered",Y,3,North,Spring,2000
1959.02.28,28-Feb-1959,1959,AUSTRALIA,Victoria,Port Phillip Bay,"No injury to occupants. Shark leapt into boat, momentarily pinning Crew against the side",N,2,South,Summer,2000
1959.02.27,27-Feb-1959,1959,VENEZUELA,Nueva Esparta,Margarita Island,Left arm bitten,N,2,North,Winter,2000
1959.02.06,16-Feb-1959,1959,PAPUA NEW GUINEA, Kikori River mouth,"Ururumba, mouth of Kikori River 7.45S, 144.40E",Arm bitten by shark that he thought was dead PROVOKED INCIDENT,N,2,South,Summer,2000
1959.02.02,02-Feb-1959 Reported,1959,SOLOMON ISLANDS,Guadalcanal Province,"Trenchs Beach, Guadalcanal Island","FATAL, body not recovered",Y,2,South,Summer,2000
1959.04.09..a,09-Apr-1959,1959,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth ,2 toes bitten off ,N,4,South,Autumn,2000
1959.02.01,01-Feb-1959,1959,SOUTH AFRICA,KwaZulu-Natal,Port Shepstone,Leg severed below knee,N,2,South,Summer,2000
1959.01.27,27-Jan-1959,1959,ECUADOR,Galapagos Islands,Crewing on  the tuna clipper Mary Barbara,Right leg & left foot lacerated,N,1,South,Summer,2000
1959.01.25,25-Jan-1959,1959,AUSTRALIA,Tasmania,"Whale Bay, King Island, Bass Strait",Thigh bitten,N,1,South,Summer,2000
1959.01.17.b,17-Jan-1959,1959,AUSTRALIA,Tasmania,Safety Cove,FATAL,Y,1,South,Summer,2000
1959.01.17.a,17-Jan-1959,1959,AUSTRALIA,Queensland,Alexandra Headland near Mooloolaba,Right foot & toe bitten,N,1,South,Summer,2000
1959.08.11,11-Aug-1959,1959,JAPAN,Wakayama Prefecture,"Isonoura Beach, Wakayama City ","FATAL, left thigh bitten",Y,8,North,Summer,2000
1959.01.12,12-Jan-1959,1959,PAPUA NEW GUINEA,Milne Bay Province,"Uga, Banaira, Milne Bay",Left calf & right thigh bitten,N,1,South,Summer,2000
1959.01.02,02-Jan-1959,1959,MOZAMBIQUE,Maputo Province,Off Inhaca Island,"Suttie's lower abdomen was bitten, Murray disappeared (presumed drowned)",Y,1,South,Summer,2000
1959.01.31,31-Jan-1959,1959,AUSTRALIA,Western Australia,South Perth,Sharks tail grazed his shin,N,1,South,Summer,2000
1959.04.09.b,09-Apr-1959,1959,USA,Hawaii,"Hilo, off Kaua'i",Survived,N,4,North,Spring,2000
1959.01.15,15-Jan-1959,1959,SOUTH AFRICA,Western Cape Province,Melkbaai,Thigh & both wrists lacerated,N,1,South,Summer,2000
1959.04.27,27-Apr-1959,1959,AUSTRALIA,New South Wales,Maroubra Bay,Thigh lacerated,,4,South,Autumn,2000
1959.04.11,11-Apr-1959,1959,AUSTRALIA,Torres Strait,"Coconut Island , 100 miles east of Thursday Island",Left hand lacerated when he tried to ward off shark,N,4,South,Autumn,2000
1959.08.05,05-Aug-1959,1959,USA,California,"Hermosa Beach, Los Angeles County","No injury, no attack, the 10' shark merely circled him.",,8,North,Summer,2000
1959.07.28,28-Jul-1959,1959,USA,California,"Alligator Head, La Jolla, San Diego County","14 punctures on right thigh, swim trunks torn",N,7,North,Summer,2000
1959.07.25.b,25-Jul-1959,1959,JAPAN,Okayama Prefecture,Ushimado,"FATAL, right thigh bitten  ",Y,7,North,Summer,2000
1959.07.25.a,25-Jul-1959,1959,USA,California,"Mission Beach, San Diego County",No injury to occupant,N,7,North,Summer,2000
1959.07.23.b,23-Jul-1959,1959,USA,California,"Off La Jolla Cove, San Diego County","No injury to occupant, shark rammed boat",N,7,North,Summer,2000
1959.07.23.a,23-Jul-1959,1959,USA,California,"Venice Beach, Los Angeles County","Gietel grabbed the shark's tail, the shark lacerated his right ankle PROVOKED INCIDENT",N,7,North,Summer,2000
1959.07.02,02-Jul-1959,1959,USA,Florida,"Delray Beach, Palm Beach County",Arm bitten when he grabbed sharks tail  PROVOKED INCIDENT,N,7,North,Summer,2000
1959.07.30,30-Jul-1959,1959,USA,California,"In kelp beds off La Jolla, San Diego County","No injury to occupants, shark charged boat after being shot twice with pistol and speared PROVOKED INCIDENT",N,7,North,Summer,2000
1959.06.14.b,14-Jun-1959,1959,MEXICO,Guyamas,San Pedro Nolasco Island,FATAL,Y,6,North,Summer,2000
1959.06.14.a,14-Jun-1959,1959,USA,California,"La Jolla, San Diego County","FATAL, body not recovered",Y,6,North,Summer,2000
1959.06.13,13-Jun-1959,1959,USA,California,"Dillon Beach, Marin County","Disappeared after diving in deep hole, body not recovered, presumed taken by a shark ",,6,North,Summer,2000
1959.05.30,30-May-1959,1959,SOUTH AFRICA,Eastern Cape Province,"Bird Island, Algoa Bay","No injury, diver shot shark & it bit his speargun PROVOKED INCIDENT",N,5,South,Autumn,2000
1959.05.16,16-May-1959,1959,USA,Florida,"Indian Rocks Beach, Clearwater, Pinellas County",Minor injuries,N,5,North,Spring,2000
1959.05.07,07-May-1959,1959,USA,California,"Baker Beach, San Francisco County","FATAL, left arm bitten, right arm partly severed, deep lacerations of left shoulder & chest ",Y,5,North,Spring,2000
1959.06.26.R,Reported 26-Jun-1959,1959,TURKEY,Mersin Province,Off Mezitli,Leg injured,N,6,North,Summer,2000
1959.05.03,03-May-1959,1959,USA,Florida,"Panama City, Bay County",Lacerated hip & hands,N,5,North,Spring,2000
1960.06.29,29-Jun-1960,1960,USA,South Carolina,"Little River Beach, Horry County","Lacerations to calf, wrist & thumb by hooked shark. PROVOKED INCIDENT",N,6,North,Summer,2000
1960.08.29,29-Aug-1960,1960,SENEGAL,Cap-Vert Peninsula,off Dakar,All 63 on board perished when the aircraft hit the water. Sharks hampered retrieval of bodies,Y,8,North,Summer,2000
1960.08.25,25-Aug-1960,1960,USA,Texas,30 miles east of Corpus Christi,"Partial human remains spotted by helicopter, shark involvement, if any, may have been post-mortum",,8,North,Summer,2000
1960.08.22.R.,Reported 22-Aug-1960,1960,PAPUA NEW GUINEA,Milne Bay Province,Not applicable,Lost left arm,N,8,South,Winter,2000
1960.08.22,22-Aug-1960,1960,USA,New Jersey,"Seaside Park, Ocean County",Knee ripped to bone,N,8,North,Summer,2000
1960.08.21,21-Aug-1960,1960,USA,New Jersey,"Sea Girt, Monmouth County","Lower right leg bitten, surgically amputated 10 days later",N,8,North,Summer,2000
1960.08.14,14-Aug-1960,1960,MOZAMBIQUE,Delagoa Bay,Bella Vista,1  survivor,,8,South,Winter,2000
1960.07.27,27-Jul-1960,1960,PAPUA NEW GUINEA,Milne Bay Province,"Taupota, Samarai ","Arm severed, torso severely  lacerated",N,7,South,Winter,2000
1960.08.04.b,04-Aug-1960,1960,UK,In the English Channel ,Off the south Devon coast,Arm lacerated elbow to wrist PROVOKED INCIDENT,N,8,North,Summer,2000
1960.08.04.a,04-Aug-1960,1960,USA,Delaware,"Mispillion Light, Delaware Bay",Hand lacerated,N,8,North,Summer,2000
1960.07.05,05-Jul-1960,1960,USA,Mississippi,Mississippi City,Leg bitten,N,7,North,Summer,2000
1960.07.03,03-Jul-1960,1960,USA,Virginia,Hog Island,Right arm bitten  PROVOKED INCIDENT,N,7,North,Summer,2000
1960.07.02.a,02-Jul-1960,1960,PAPUA NEW GUINEA,Madang,"Bimat, Bogia",Right buttock slashed,N,7,South,Winter,2000
1960.08.30,30-Aug-1960,1960,USA,New Jersey,"Ocean City, Cape May County",Right leg severely lacerated,N,8,North,Summer,2000
1960.08.10,10-Aug-1960,1960,USA,Florida,Key Largo Sound,Right hand bitten by hooked shark PROVOKED INCIDENT,N,8,North,Summer,2000
1960.09.01,01-Sep-1960,1960,MARSHALL ISLANDS,Eniwetok Atoll,Parry Island,"No injury, shark made a threat display",,9,North,Autumn,2000
1960.11.11,11-Nov-1960,1960,AUSTRALIA,Queensland,"Scotts Point, Redcliffe Peninsula","Shark knocked him off surf-ski, he inhaled water & had to be resuscitated PROVOKED INCIDENT", N,11,South,Spring,2000
1960.09.18,18-Sep-1960,1960,AUSTRALIA,Western Australia,Frenchman Bay,"No injury to occupants, toothmarks on bottom & side of dinghy",N,9,South,Spring,2000
1960.06.27.b,27-Jun-1960,1960,NEW ZEALAND,Cook Strait,Tory Channel,Harpooned shark bit boat PROVOKED INCIDENT,N,6,South,Winter,2000
1960.12.27.b,27-Dec-1960,1960,USA,Hawaii,"Maile Point, O'ahu","FATAL  Shark seen attacking Riley, body recovered off Nanakuli",Y,12,North,Winter,2000
1960.12.27.a.,27-Dec-1960,1960,AUSTRALIA,New South Wales,"Bondi Beach, Sydney","Shark brushed past, minor injuries if any", N,12,South,Summer,2000
1960.12.24,24-Dec-1960,1960,SOUTH AFRICA,KwaZulu-Natal,Margate,"FATAL, legs severed ",Y,12,South,Summer,2000
1960.12.20,20-Dec-1960,1960,AUSTRALIA,Queensland,"Colleges Crossing, 54 miles above mouth of the Brisbane River",Left thigh lacerated, N,12,South,Summer,2000
1960.12.01,01-Dec-1960,1960,AUSTRALIA,Queensland,"Colledge's Crossing, Brisbane River",Bitten & survived,N,12,South,Summer,2000
1960.09.02,02-Sep-1960,1960,MARSHALL ISLANDS,Eniwetok Atoll,Lagoon along Sand Island,"No injury, shark made a threat display",,9,North,Autumn,2000
1960.11.27,27-Nov-1960,1960,AUSTRALIA,Queensland,"Blacks Beach, 9 miles north of Mackay",Right shoulder lacerated, N,11,South,Spring,2000
1960.11.06,06-Nov-1960,1960,AUSTRALIA,Western Australia,Hamelin Bay,Scratches on right upper arm, N,11,South,Spring,2000
1960.10.25,25-Oct-1960,1960,USA,California,"Off Point Mugu, Ventura County","No injury, shark hit his foot & circled",N,10,North,Autumn,2000
1960.10.24,24-Oct-1960,1960,SOUTH AFRICA,Western Cape Province,"Jacobs Bay Reef, Saldanha Bay","No injury to occupants, shark rammed & bit  boat",N,10,South,Spring,2000
1960.10.02,01-Oct-1960,1960,AUSTRALIA,New South Wales,North Head,"Swept off rocks & presumed to have drowned, shark seen in area",,10,South,Spring,2000
1960.09.24,24-Sep-1960,1960,USA,South Carolina,"Atlantic Beach, Horry County","Multiple superficial lacerations of leg, arm & hand PROVOKED INCIDENT",N,9,North,Autumn,2000
1960.09.22,22-Sep-1960,1960,JAPAN,180 miles southeast of Okinawa,Not applicable,One body sighted but not recovered due to shark activity,N,9,North,Autumn,2000
1960.11.22,22-Nov-1960,1960,USA,Florida,"Hutchinson Island Beach, Martin County","FATAL, probable drowning & post mortem scavenging",,11,North,Autumn,2000
1960.06.27.a,27-Jun-1960,1960,NORTH SEA,"Unknown, treated at Wick, SCOTLAND","On board  East German fishing trawler, I Mai",Right arm bitten by shark taken onboard in net PROVOKED INCIDENT,N,6,North,Summer,2000
1960.08.24,24-Aug-1960,1960,USA,Connecticut,"Off Eames Monument, Bridgeport, Fairfield County",Superficial laceration of left arm,N,8,North,Summer,2000
1960.06.07,07-Jun-1960,1960,USA,California,"10 miles off Santa Barbara, Santa Barbara County","Legs & arms bitten, coroner unable to determine if injuries occurred before death.",,6,North,Summer,2000
1960.03.28,28-Mar-1960,1960,GUAM,Not applicable,Not applicable,Thigh bitten,N,3,North,Spring,2000
1960.02.29,29-Feb-1960,1960,AUSTRALIA,Tasmania,Ralph Bay,"No injury, Robertson knocked over & Hasler brushed by a shark",N,2,South,Summer,2000
1960.02.27.b,27-Feb-1960,1960,NEW ZEALAND,North Island,"Mangawhai, near Wellsford","No injury, leg bumped by shark's tail",N,2,South,Summer,2000
1960.02.27.a,27-Feb-1960,1960,USA,Hawaii,"Between Keawakapu & Makena, Maui",Left forearm lacerated,,2,North,Winter,2000
1960.02.24,24-Feb-1960,1960,SENEGAL,Casamance,Ziguinchor,Calf bitten by shark caught in net PROVOKED INCIDENT,N,2,North,Winter,2000
1960.02.19,19-Feb-1960,1960,PAPUA NEW GUINEA,Central Province,"Tupuselei Village, about 40 miles east of Port Moresby","FATAL, legs bitten ",Y,2,South,Summer,2000
1960.02.10.,10-Feb-1960,1960,AUSTRALIA,New South Wales,Near Bondi Beach,No injury to occupants. Hooked shark rammed boat  PROVOKED INCIDENT,N,2,South,Summer,2000
1960.02.07,07-Feb-1960,1960,AUSTRALIA,New South Wales,Wattamolla National Park,"No injury, speared shark towed Gilles 200 yards & tore hole in diving suit, and hit Dowswell's back with its tail PROVOKED INCIDENT",N,2,South,Summer,2000
1960.02.03,03-Feb-1960,1960,USA,Hawaii,Maui,"Of crew of 4, only 1 person survived (broken legs but no shark bites). Within 20 minutes of his rescue large sharks were in area. No remains of other 3 crew recovered, and shark involvement in their deaths is questionable. ",,2,North,Winter,2000
1960.01.30,30-Jan-1960,1960,PAPUA NEW GUINEA,Madang (WO),"Off Taludig Village, at mouth of the Murnass River","Lower left leg bitten, surgically amputated",N,1,South,Summer,2000
1960.01.26,26-Jan-1960,1960,AUSTRALIA,"Between Timor & Darwin, Australia",Not applicable,"As searchers approached wreckage, sharks circled one canoe & seized oar from another.",N,1,South,Summer,2000
1960.01.21,21-Jan-1960,1960,AUSTRALIA,South Australia,Millicent,"No injury to occupants, shark lifted boat",N,1,South,Summer,2000
1960.01.16,16-Jan-1960,1960,AUSTRALIA,New South Wales,"Just below Roseville Bridge, opposite Killarney picnic reserve, Middle Harbor, Sydney","FATAL, right leg severed above knee, surgically amputated but died 9 days later ",Y,1,South,Summer,2000
1960.01.07,07-Jan-1960,1960,AUSTRALIA,Tasmania,Eaglehawk Neck,"No injury to occupant, shark rammed boat",N,1,South,Summer,2000
1960.06.24,24-Jun-1960,1960,USA,Florida,"2 miles east of Dania Beach, Broward County","No injury, shark harrassed diver & attempted to bite his swimfins",N,6,North,Summer,2000
1960.03.31,31-Mar-1960,1960,USA,Florida,"Off Boca Raton Hotel & Club, Boca Raton, Palm Beach County","Ankle bitten, hand injured while striking shark",N,3,North,Spring,2000
1960.04.01,01-Apr-1960,1960,AUSTRALIA,South Australia,Hog Bay,Hooked shark bit stern  PROVOKED INCIDENT,N,4,South,Autumn,2000
